,zipcode,state,lng,lat
28733,97826,OR,-119.194904,45.74109
28734,97827,OR,-117.91119,45.594101
28735,97828,OR,-117.288808,45.437037
28736,97830,OR,-120.206699,44.985289
28737,97831,OR,-119.291646,44.660681
28738,97833,OR,-117.97556,44.877622
28739,97834,OR,-117.113152,44.895272
28740,97835,OR,-118.722219,45.866541
28741,97836,OR,-119.536897,45.348577
28742,97837,OR,-117.98896,44.641048
28743,97838,OR,-119.284876,45.844992
28744,97839,OR,-119.74636,45.426362
28745,97841,OR,-117.954377,45.459908
28746,97842,OR,-116.825741,45.513733
28747,97843,OR,-119.769034,45.54033
28748,97844,OR,-119.507016,45.88768
28749,97845,OR,-119.105157,44.409977
28750,97846,OR,-117.212805,45.349432
28751,97848,OR,-119.596497,44.72263
28752,97850,OR,-118.085228,45.330435
28753,97856,OR,-119.09702,44.755416
28754,97857,OR,-117.435909,45.493861
28755,97862,OR,-118.391172,45.948581
28756,97864,OR,-119.430164,44.818451
28757,97865,OR,-119.112142,44.417095
28758,97867,OR,-117.933666,45.031667
28759,97868,OR,-118.848331,45.422724
28760,97869,OR,-118.695199,44.456977
28761,97870,OR,-117.301825,44.797013
28762,97872,OR,-118.941818,44.95404
28763,97873,OR,-119.057797,44.127704
28764,97874,OR,-119.830318,44.824186
28765,97875,OR,-119.211602,45.785988
28766,97876,OR,-118.026978,45.507687
28767,97877,OR,-118.190604,44.73164
28768,97882,OR,-119.313715,45.915725
28769,97883,OR,-117.853554,45.201939
28770,97884,OR,-118.16273,44.449063
28771,97885,OR,-117.535727,45.571722
28772,97886,OR,-118.373279,45.807365
28773,97901,OR,-117.060193,43.653712
28774,97902,OR,-117.034189,43.970896
28775,97903,OR,-117.590371,44.199396
28776,97904,OR,-118.47066,43.864277
28777,97906,OR,-117.528433,43.873363
28778,97907,OR,-117.309691,44.381113
28779,97908,OR,-117.944435,44.300913
28780,97909,OR,-117.437269,44.181873
28781,97910,OR,-117.280984,42.880139
28782,97911,OR,-118.092118,43.825277
28783,97913,OR,-117.025113,43.860386
28784,97914,OR,-116.978268,44.04156
28785,97917,OR,-118.095769,43.467415
28786,97918,OR,-117.267412,44.003902
28787,97920,OR,-117.687673,43.992246
28788,98001,WA,-122.270057,47.316339
28789,98002,WA,-122.206741,47.30503
28790,98003,WA,-122.311726,47.3203
28791,98004,WA,-122.207371,47.619899
28792,98005,WA,-122.166288,47.614961
28793,98006,WA,-122.155179,47.561425
28794,98007,WA,-122.142572,47.617443
28795,98008,WA,-122.116173,47.611468
28796,98010,WA,-122.005265,47.311372
28797,98011,WA,-122.2159,47.749692
28798,98012,WA,-122.206981,47.848941
28799,98014,WA,-121.911095,47.638007
28800,98019,WA,-121.936906,47.724987
28801,98020,WA,-122.366949,47.800693
28802,98021,WA,-122.224339,47.791806
28803,98022,WA,-122.031429,47.266545
28804,98023,WA,-122.36123,47.310358
28805,98024,WA,-121.889646,47.568233
28806,98026,WA,-122.334463,47.823324
28807,98027,WA,-122.033517,47.550911
28808,98031,WA,-122.193184,47.388004
28809,98032,WA,-122.285362,47.377633
28810,98033,WA,-122.189442,47.678597
28811,98034,WA,-122.196571,47.718777
28812,98036,WA,-122.287789,47.811825
28813,98037,WA,-122.282139,47.850532
28814,98038,WA,-122.057413,47.384526
28815,98040,WA,-122.226562,47.563149
28816,98042,WA,-122.120615,47.368044
28817,98043,WA,-122.304036,47.793061
28818,98045,WA,-121.757142,47.475546
28819,98047,WA,-122.243481,47.266605
28820,98051,WA,-121.987897,47.415476
28821,98052,WA,-122.123242,47.671796
28822,98053,WA,-122.038578,47.646238
28823,98055,WA,-122.207484,47.464759
28824,98056,WA,-122.181942,47.507336
28825,98058,WA,-122.121586,47.446507
28826,98059,WA,-122.151178,47.467383
28827,98065,WA,-121.822533,47.529286
28828,98070,WA,-122.464415,47.425949
28829,98072,WA,-122.127087,47.768384
28830,98101,WA,-122.330456,47.611435
28831,98102,WA,-122.320993,47.63025
28832,98103,WA,-122.342621,47.67335
28833,98104,WA,-122.325644,47.603631
28834,98105,WA,-122.302236,47.663266
28835,98106,WA,-122.354688,47.534362
28836,98107,WA,-122.37626,47.67012
28837,98108,WA,-122.306823,47.547448
28838,98109,WA,-122.347615,47.633875
28839,98110,WA,-122.531297,47.645048
28840,98112,WA,-122.297157,47.630115
28841,98115,WA,-122.296828,47.684918
28842,98116,WA,-122.393445,47.574591
28843,98117,WA,-122.377223,47.687263
28844,98118,WA,-122.275021,47.541234
28845,98119,WA,-122.364272,47.637917
28846,98121,WA,-122.344696,47.615135
28847,98122,WA,-122.305608,47.611633
28848,98125,WA,-122.301546,47.717002
28849,98126,WA,-122.373458,47.544361
28850,98133,WA,-122.343132,47.737717
28851,98134,WA,-122.326346,47.590276
28852,98136,WA,-122.387768,47.539769
28853,98144,WA,-122.300457,47.584624
28854,98146,WA,-122.353989,47.501069
28855,98148,WA,-122.326112,47.450209
28856,98155,WA,-122.296305,47.758161
28857,98158,WA,-122.318454,47.442739
28858,98166,WA,-122.347392,47.455052
28859,98168,WA,-122.302376,47.48851
28860,98177,WA,-122.368585,47.746678
28861,98178,WA,-122.247366,47.499489
28862,98188,WA,-122.281159,47.449808
28863,98198,WA,-122.309559,47.407286
28864,98199,WA,-122.396357,47.648845
28865,98201,WA,-122.200571,47.988431
28866,98203,WA,-122.221846,47.941937
28867,98204,WA,-122.247217,47.901659
28868,98205,WA,-122.115759,47.990065
28869,98208,WA,-122.198722,47.894822
28870,98220,WA,-122.191391,48.675248
28871,98221,WA,-122.630873,48.500438
28872,98223,WA,-122.112126,48.18293
28873,98224,WA,-121.44757,47.757787
28874,98225,WA,-122.488676,48.748957
28875,98226,WA,-122.441457,48.762763
28876,98230,WA,-122.732327,48.963572
28877,98232,WA,-122.413438,48.562037
28878,98233,WA,-122.33449,48.478577
28879,98236,WA,-122.391588,47.950845
28880,98237,WA,-121.664294,48.530962
28881,98239,WA,-122.682346,48.218911
28882,98240,WA,-122.622571,48.937412
28883,98241,WA,-121.591807,48.249285
28884,98244,WA,-122.153957,48.803366
28885,98245,WA,-122.937045,48.665554
28886,98247,WA,-122.332474,48.90447
28887,98248,WA,-122.595293,48.862531
28888,98249,WA,-122.564086,48.03417
28889,98250,WA,-123.094717,48.545416
28890,98252,WA,-121.942752,48.078977
28891,98253,WA,-122.587086,48.124432
28892,98257,WA,-122.53134,48.409306
28893,98258,WA,-122.067153,48.017103
28894,98260,WA,-122.452992,48.018672
28895,98261,WA,-122.967434,48.520804
28896,98262,WA,-122.682285,48.712765
28897,98263,WA,-122.016183,48.525744
28898,98264,WA,-122.459153,48.937225
28899,98270,WA,-122.156168,48.065639
28900,98271,WA,-122.197956,48.096572
28901,98272,WA,-121.947376,47.85853
28902,98273,WA,-122.326548,48.416427
28903,98275,WA,-122.301906,47.919896
28904,98277,WA,-122.637439,48.315096
28905,98278,WA,-122.69005,48.295271
28906,98279,WA,-122.836224,48.655526
28907,98281,WA,-123.055474,48.987876
28908,98283,WA,-121.555352,48.470388
28909,98284,WA,-122.232943,48.527405
28910,98288,WA,-121.371297,47.692158
28911,98290,WA,-122.071562,47.895381
28912,98292,WA,-122.377978,48.201067
28913,98294,WA,-121.736869,47.858942
28914,98295,WA,-122.207425,48.970763
28915,98303,WA,-122.696025,47.15872
28916,98304,WA,-121.989791,46.753121
28917,98305,WA,-124.305424,48.067263
28918,98310,WA,-122.629913,47.601916
28919,98312,WA,-122.695786,47.575424
28920,98314,WA,-122.724354,47.746255
28921,98315,WA,-122.716106,47.692017
28922,98320,WA,-122.937509,47.677596
28923,98321,WA,-122.062098,47.152449
28924,98323,WA,-122.051339,47.080242
28925,98325,WA,-122.788323,47.98607
28926,98326,WA,-124.201512,48.225486
28927,98328,WA,-122.269626,46.870778
28928,98329,WA,-122.7,47.378579
28929,98330,WA,-122.150344,46.766607
28930,98331,WA,-124.398949,47.928732
28931,98332,WA,-122.600144,47.3607
28932,98333,WA,-122.628579,47.25238
28933,98335,WA,-122.608377,47.300154
28934,98336,WA,-122.099014,46.528266
28935,98338,WA,-122.293648,47.024575
28936,98339,WA,-122.768151,48.034531
28937,98340,WA,-122.565509,47.906143
28938,98346,WA,-122.525503,47.810844
28939,98349,WA,-122.74273,47.247366
28940,98351,WA,-122.756126,47.200737
28941,98354,WA,-122.315514,47.24827
28942,98355,WA,-122.186056,46.709635
28943,98356,WA,-122.249573,46.558056
28944,98358,WA,-122.692553,48.04321
28945,98359,WA,-122.574512,47.424088
28946,98360,WA,-122.185978,47.082206
28947,98361,WA,-121.655254,46.650038
28948,98362,WA,-123.438442,48.106489
28949,98365,WA,-122.689615,47.922192
28950,98366,WA,-122.615276,47.504838
28951,98368,WA,-122.794457,48.104012
28952,98370,WA,-122.627721,47.742278
28953,98371,WA,-122.315097,47.199123
28954,98372,WA,-122.273415,47.204202
28955,98373,WA,-122.321868,47.128363
28956,98374,WA,-122.265248,47.142427
28957,98376,WA,-122.858304,47.832429
28958,98377,WA,-121.855533,46.549195
28959,98380,WA,-122.822685,47.625497
28960,98381,WA,-124.468467,48.303166
28961,98382,WA,-123.119814,48.088136
28962,98383,WA,-122.698054,47.662139
28963,98387,WA,-122.394336,47.073218
28964,98388,WA,-122.588837,47.170369
28965,98390,WA,-122.180275,47.188801
28966,98392,WA,-122.557295,47.734303
28967,98394,WA,-122.773598,47.330921
28968,98402,WA,-122.440536,47.254508
28969,98403,WA,-122.457538,47.26428
28970,98404,WA,-122.412625,47.211312
28971,98405,WA,-122.46435,47.248351
28972,98406,WA,-122.499349,47.26325
28973,98407,WA,-122.503881,47.282479
28974,98408,WA,-122.444381,47.207267
28975,98409,WA,-122.482503,47.20381
28976,98421,WA,-122.401457,47.266373
28977,98422,WA,-122.398349,47.294805
28978,98424,WA,-122.350962,47.243632
28979,98433,WA,-122.583486,47.100864
28980,98439,WA,-122.529326,47.122905
28981,98443,WA,-122.372815,47.204369
28982,98444,WA,-122.448842,47.156553
28983,98445,WA,-122.411614,47.133967
28984,98446,WA,-122.37189,47.14041
28985,98465,WA,-122.527272,47.249139
28986,98466,WA,-122.53503,47.22788
28987,98467,WA,-122.533562,47.205395
28988,98498,WA,-122.555357,47.164269
28989,98499,WA,-122.509074,47.160786
28990,98501,WA,-122.876311,47.012906
28991,98502,WA,-122.95214,47.029828
28992,98503,WA,-122.782665,47.023967
28993,98506,WA,-122.832844,47.076259
28994,98520,WA,-123.79629,46.984293
28995,98524,WA,-122.853571,47.385004
28996,98526,WA,-123.907375,47.470579
28997,98528,WA,-122.822381,47.454956
28998,98531,WA,-122.967068,46.724635
28999,98532,WA,-122.965764,46.638193
29000,98533,WA,-122.566005,46.567131
29001,98535,WA,-124.135881,47.065044
29002,98536,WA,-124.13471,47.12535
29003,98537,WA,-123.77394,46.953789
29004,98538,WA,-123.156974,46.558372
29005,98541,WA,-123.39969,47.005813
29006,98542,WA,-122.776009,46.53581
29007,98546,WA,-122.949742,47.305783
29008,98547,WA,-124.056194,46.853201
29009,98548,WA,-123.173932,47.423526
29010,98550,WA,-123.884169,46.982269
29011,98552,WA,-123.971695,47.135632
29012,98555,WA,-123.063119,47.512773
29013,98557,WA,-123.273301,47.053987
29014,98560,WA,-123.337638,47.177545
29015,98562,WA,-124.20438,47.222619
29016,98563,WA,-123.500584,47.09013
29017,98564,WA,-122.478935,46.513136
29018,98568,WA,-123.249329,46.843366
29019,98569,WA,-124.15323,46.982905
29020,98570,WA,-122.707503,46.573016
29021,98571,WA,-124.158833,47.198144
29022,98572,WA,-123.285244,46.56558
29023,98575,WA,-123.803744,47.448505
29024,98576,WA,-122.679468,46.882942
29025,98577,WA,-123.692889,46.671046
29026,98579,WA,-123.040634,46.819295
29027,98580,WA,-122.448271,46.956048
29028,98581,WA,-123.043134,46.375176
29029,98582,WA,-122.645364,46.515059
29030,98584,WA,-123.072862,47.20863
29031,98585,WA,-122.475716,46.549077
29032,98586,WA,-123.820315,46.6544
29033,98587,WA,-124.2827,47.340711
29034,98588,WA,-122.921126,47.435618
29035,98589,WA,-122.849269,46.864119
29036,98590,WA,-124.046008,46.746874
29037,98591,WA,-122.826559,46.439552
29038,98592,WA,-123.034364,47.351305
29039,98593,WA,-122.958493,46.398505
29040,98595,WA,-124.106055,46.883619
29041,98596,WA,-122.915806,46.494014
29042,98597,WA,-122.588049,46.920589
29043,98601,WA,-122.457418,45.9195
29044,98602,WA,-121.148618,45.909041
29045,98603,WA,-122.46769,45.995154
29046,98604,WA,-122.531845,45.790667
29047,98605,WA,-121.175778,45.6341
29048,98606,WA,-122.484342,45.730432
29049,98607,WA,-122.414231,45.605772
