,DISTANCE,CASES,WEIGHT,VOLUME,ORIGIN ZIP,DEST ZIP,ACTUAL MODE,ACTUAL EQUIP,PU_APPT,DL_APPT
3793557,951.9,2,1.37,0.08,37921,77494,MTNORAM.PARCEL,MTNORAM.53DV,2/22/2022 22:02,2/23/2022 22:02
145575,406.8,2195,305.21,9.31,53158,43160,CORP.LTL,CORP.53RF,7/26/2022 18:07,7/27/2022 12:07
130933,186.9,1,0.25,0.0,38134,37205,CORP.PARCEL,CORP.53DV,8/16/2022 22:08,8/31/2022 22:08
2759937,287.1,30,8.64,0.73,37921,27403,MTNORAM.PARCEL,MTNORAM.53DV,8/22/2022 21:08,8/23/2022 18:08
2951564,2623.5,2,1.66,0.08,17345,91754,MTNORAM.PARCEL,MTNORAM.53DV,6/28/2022 23:06,6/30/2022 0:06
4525025,1389.5,0,440.41,100.66,55121,88008,MTNORAM.LTL,MTNORAM.53DV,4/25/2022 5:04,5/3/2022 18:05
2436265,128.8,40,16.0,5.83,75835,77489,CORP.TL,CORP.53BK,4/12/2022 3:04,4/12/2022 6:04
74651,534.2,8,0.86,0.07,38134,46321,CORP.PARCEL,CORP.53DV,8/15/2022 22:08,8/17/2022 19:08
4476762,509.4,3,1.66,0.08,17345,41858,MTNORAM.PARCEL,MTNORAM.53DV,3/29/2022 22:03,3/30/2022 20:03
2097894,462.4,6,0.33,0.03,38134,75078,CORP.PARCEL,CORP.53DV,5/6/2022 15:05,5/10/2022 22:05
3970341,571.8,2,1320.88,44.5,46158,72712,MTNORAM.LTL,MTNORAM.53DV,12/27/2021 23:12,12/29/2021 20:12
3617242,456.7,3,4.97,0.23,17345,45036,MTNORAM.PARCEL,MTNORAM.53DV,3/9/2022 0:03,3/9/2022 19:03
2675278,6.0,20,2992.0,536.26,85043,85009,CORP.LTL,CORP.53DV,6/14/2022 12:06,6/14/2022 19:00
4070121,0.0,0,22781.4,2596.41,78264,40299-2440,MTNORAM.TL,MTNORAM.53DV,12/9/2021 7:00,12/13/2021 9:00
1838480,62.1,3,422.0,89.57,94545,94938,CORP.LTL,CORP.53DV,11/19/2021 17:11,11/29/2021 22:11
470931,739.33,2,0.19,1.0,38637,44641,CORP.PARCEL,CORP.53DV,7/30/2022 22:07,8/2/2022 19:08
1180277,532.4,1,17.04,0.59,38134,64120,CORP.PARCEL,CORP.53DV,1/14/2022 6:01,7/14/2022 19:07
2218204,1161.3,12,94.8,7.82,53158,77478,CORP.PARCEL,CORP.53DV,4/8/2022 23:04,4/13/2022 20:04
1747051,5.0,48,5140.0,1587.31,32824,32824,CORP.TL,CORP.53DV,11/9/2021 20:00,11/10/2021 20:00
4490582,210.4,7,25.01,0.66,17345,13760,MTNORAM.PARCEL,MTNORAM.53DV,6/22/2022 1:06,6/23/2022 23:06
1817668,1456.3,2,54.74,5.55,90810,75042,CORP.PARCEL,CORP.53DV,9/29/2021 20:09,10/4/2021 17:10
315397,1984.5,1,1.03,0.09,90810,60560,CORP.PARCEL,CORP.53DV,8/5/2022 7:08,8/9/2022 22:08
1634532,1488.5,1,0.25,0.0,38134,85008,CORP.PARCEL,CORP.53DV,9/27/2021 15:09,9/29/2021 3:09
550102,8.2,120,9963.0,1398.0,92154,91950,CORP.TL,CORP.53DV,10/19/2022 21:10,10/19/2022 21:10
3999415,561.6,72,17.5,1.03,8512,43316,MTNORAM.PARCEL,MTNORAM.53DV,12/23/2021 1:12,12/27/2021 21:12
2218244,2055.1,0,0.94,0.02,53158,95661,CORP.PARCEL,CORP.53DV,5/18/2022 19:05,5/19/2022 23:05
